,Date-Time,Lattitude,Longitude,Depth,Mag,Location
214,18 May 2018 - 05:01 PM,05.86,125.18,014,1.8,004 km N 04° W of Glan (Sarangani)
215,18 May 2018 - 04:21 PM,06.39,126.58,028,3.7,063 km S 63° E of Governor Generoso (Davao Oriental)
216,18 May 2018 - 03:47 PM,16.00,119.47,016,2.4,037 km S 70° W of Agno (Pangasinan)
217,18 May 2018 - 03:17 PM,13.10,125.78,010,2.3,090 km N 40° E of Mapanas (Northern Samar)
218,18 May 2018 - 12:56 PM,05.93,126.68,033,2.3,118 km N 88° E of Jose Abad Santos (Davao Occidental)
219,18 May 2018 - 12:34 PM,10.36,126.06,014,4.3,037 km N 03° W of Burgos (Surigao Del Norte)
220,18 May 2018 - 09:03 AM,15.89,120.36,092,2.2,004 km S 23° E of San Carlos City (Pangasinan)
221,18 May 2018 - 08:03 AM,10.33,123.95,006,3.1,002 km N 18° W of Lapu-lapu City (Opon) (Cebu)
222,18 May 2018 - 05:19 AM,09.78,126.59,007,3.1,047 km N 90° E of General Luna (Surigao del Norte)
223,18 May 2018 - 05:17 AM,08.95,126.61,047,2.6,034 km N 85° E of Cagwait (Surigao del Sur)
224,18 May 2018 - 05:12 AM,06.31,126.24,029,2.6,042 km S 25° E of Governor Generoso (Davao Oriental)
225,18 May 2018 - 04:17 AM,10.32,126.10,015,3.1,033 km N 05° W of Burgos (Surigao del Norte)
226,18 May 2018 - 03:50 AM,04.57,126.47,001,3.1,146 km S 49° E of Sarangani (Davao Occidental)
227,18 May 2018 - 03:25 AM,11.55,126.07,003,2.5,055 km N 63° E of Hernani (Eastern Samar)
228,18 May 2018 - 03:14 AM,17.67,120.63,034,2.1,003 km S 31° W of Danglas (Abra)
229,18 May 2018 - 02:46 AM,05.28,126.23,011,2.5,086 km S 78° E of Sarangani (Davao Occidental)
230,18 May 2018 - 01:30 AM,06.17,124.68,021,2.1,006 km S 11° W of T'boli (South Cotabato)
231,18 May 2018 - 01:27 AM,17.47,120.48,013,2.3,012 km N 62° W of Pilar (Abra)
232,18 May 2018 - 01:00 AM,17.23,120.30,032,2.2,016 km N 77° W of Candon City (Ilocos Sur)
233,18 May 2018 - 12:42 AM,15.46,120.28,030,2.0,022 km S 32° W of Mayantoc (Tarlac)
234,18 May 2018 - 12:39 AM,05.56,126.52,063,2.7,107 km S 70° E of Jose Abad Santos (Davao Occidental)
235,18 May 2018 - 12:18 AM,06.19,126.83,017,2.1,090 km S 56° E of Governor Generoso (Davao Oriental)
236,18 May 2018 - 12:05 AM,08.98,125.83,048,2.2,022 km N 39° E of Sibagat (Agusan Del Sur)
237,18 May 2018 - 12:04 AM,13.77,120.54,066,1.8,013 km S 55° W of Calatagan (Batangas)
238,17 May 2018 - 11:57 PM,10.12,125.81,020,2.1,024 km N 77° E of Basilisa (Rizal) (Surigao del Norte)
239,17 May 2018 - 11:35 PM,18.86,121.49,065,2.3,043 km N 39° E of Sanchez-mira (Cagayan)
240,17 May 2018 - 11:32 PM,20.70,121.08,026,3.3,080 km S 82° W of Itbayat (Batanes)
241,17 May 2018 - 10:52 PM,06.61,126.98,150,2.5,076 km S 50° E of Tarragona (Davao Oriental)
242,17 May 2018 - 09:47 PM,10.37,125.91,028,2.0,036 km N 89° E of Loreto (Dinagat)
243,17 May 2018 - 08:57 PM,06.14,125.96,114,2.6,030 km S 78° E of Don Marcelino (Davao Occidental)
244,17 May 2018 - 08:45 PM,05.82,124.72,019,2.0,021 km S 30° E of Kiamba (Sarangani)
245,17 May 2018 - 08:30 PM,06.23,126.79,033,2.5,091 km S 59° E of Governor Generoso (Davao Oriental)
246,17 May 2018 - 07:14 PM,03.71,126.28,014,2.9,210 km S 25° E of Sarangani (Davao Occidental)
247,17 May 2018 - 06:59 PM,10.04,123.12,007,2.1,011 km N 54° W of Jimalalud (Negros Oriental)
248,17 May 2018 - 06:50 PM,14.98,120.01,026,2.0,010 km S 36° W of San Felipe (Zambales)
249,17 May 2018 - 06:22 PM,09.80,122.15,075,2.7,028 km N 80° W of Sipalay (Negros Occidental)
