,Date-Time,Latitude,Depth,Mag,Location
111,24 November 2018 - 07:25 AM,125.61,016,2.8,007 km S 32° E of Kitcharao (Agusan Del Norte)
112,24 November 2018 - 06:23 AM,124.97,005,2.3,065 km S 83° E of Baras (Catanduanes)
113,24 November 2018 - 06:11 AM,120.86,001,3.2,017 km N 49° W of Bontoc (Mountain Province)
114,24 November 2018 - 04:14 AM,126.22,066,2.7,079 km S 58° E of Jose Abad Santos (Davao Occidental)
115,24 November 2018 - 03:32 AM,121.35,014,2.4,057 km S 73° W of Sabtang (Batanes)
116,24 November 2018 - 02:52 AM,126.94,094,3.0,145 km S 41° E of Governor Generoso (Davao Oriental)
117,24 November 2018 - 01:43 AM,122.28,012,2.5,014 km S 72° W of Sipalay (Negros Occidental)
118,24 November 2018 - 12:39 AM,126.77,016,2.4,035 km N 40° E of Baganga (Davao Oriental)
119,24 November 2018 - 12:07 AM,126.19,026,2.9,082km S 69° E of Dolores (Eastern Samar)
120,24 November 2018 - 12:06 AM,119.75,032,2.0,020 km S 56° W of Santa Cruz (Zambales)
121,24 November 2018 - 12:00 AM,124.79,073,4.3,239 km S 18° W of Sarangani (Davao Occidental)
122,23 November 2018 - 11:14 PM,126.48,033,2.4,046 km S 77° E of Governor Generoso (Davao Oriental)
123,23 November 2018 - 10:47 PM,124.01,006,2.3,014 km S 21° W of Kalamansig (Sultan Kudarat)
124,23 November 2018 - 09:50 PM,120.09,015,3.0,025 km S 43° W of Looc (Occidental Mindoro)
125,23 November 2018 - 09:02 PM,123.83,001,2.0,029 km S 59° W of Kalamansig (Sultan Kudarat)
126,23 November 2018 - 08:37 PM,124.61,027,2.0,036 km N 47° E of Biri (Northern Samar)
127,23 November 2018 - 07:24 PM,125.40,036,2.9,112 km S 87° E of Baras (Catanduanes)
128,23 November 2018 - 06:52 PM,123.90,028,2.0,028 km S 40° W of Kalamansig (Sultan Kudarat)
129,23 November 2018 - 06:16 PM,123.78,001,2.5,039 km S 53° W of Kalamansig (Sultan Kudarat)
130,23 November 2018 - 04:30 PM,122.52,003,2.1,023 km S 01° E of San Francisco (Aurora) (Quezon)
131,23 November 2018 - 10:49 AM,126.34,001,2.8,056 km N 32° E of Burgos (Surigao Del Norte)
132,23 November 2018 - 08:49 AM,124.27,100,2.3,014 km N 49° W of Biri (Northern Samar)
133,23 November 2018 - 07:28 AM,126.08,001,2.8,015 km S 19° W of Maragusan (San Mariano) (Compostela Valley)
134,23 November 2018 - 07:25 AM,123.23,010,2.0,030  km S 71° E of Silay City (Negros Occidental)
135,23 November 2018 - 06:50 AM,124.73,289,3.8,230  km S 21° W of Sarangani (Davao Occidental)
136,23 November 2018 - 04:00 AM,126.22,022,2.2,016  km N 10° E of Cortes (Surigao del Sur)
137,23 November 2018 - 03:09 AM,126.40,031,2.7,016  km S 46° E of Marihatag (Surigao del Sur)
138,23 November 2018 - 12:30 AM,126.41,026,3.3,076  km N 30° E of Burgos (Surigao del Norte)
139,23 November 2018 - 12:00 AM,127.04,014,3.0,070  km S 70° E of Tarragona (Davao Oriental)
140,23 November 2018 - 12:00 AM,127.01,011,2.1,069  km S 64° E of Tarragona (Davao Oriental)
141,22 November 2018 - 11:56 PM,125.26,027,1.7,013  km S 36° E of Hinunangan (Southern Leyte)
142,22 November 2018 - 11:26 PM,120.18,053,2.2,019  km N 74° W of Bacnotan (La Union)
143,22 November 2018 - 11:05 PM,120.02,031,2.7,035  km S 45° W of Looc (Occidental Mindoro)
144,22 November 2018 - 08:44 PM,120.64,130,2.4,005  km S 10° E of Calatagan (Batangas)
145,22 November 2018 - 08:07 PM,120.02,033,1.9,024  km N 25° E of Candelaria (Zambales)
146,22 November 2018 - 07:17 PM,127.04,199,3.5,124 km S 59° E of Governor Generoso (Davao Oriental)
147,22 November 2018 - 06:25 PM,123.18,024,2.7,011 km S 54° W of Dauin (Negros Oriental)
148,22 November 2018 - 04:49 PM,125.19,001,2.4,003 km S 04° W of Hinundayan (Southern Leyte)
149,22 November 2018 - 11:54 AM,127.04,012,2.9,071 km S 52° E of Manay (Davao Oriental)
150,22 November 2018 - 11:52 AM,126.81,032,2.6,042 km S 45° E of Manay (Davao Oriental)
151,22 November 2018 - 11:13 AM,126.94,014,2.8,056 km S 54° E of Manay (Davao Oriental)
152,22 November 2018 - 10:58 AM,127.11,075,3.1,075 km S 58° E of Manay (Davao Oriental)
153,22 November 2018 - 10:35 AM,127.02,001,2.8,069 km S 67° E of Tarragona (Davao Oriental)
154,22 November 2018 - 09:27 AM,120.29,014,2.2,013 km S 21° E of Looc (Occidental Mindoro)
155,22 November 2018 - 08:34 AM,119.96,021,1.9,017 km N 87° W of Lubang (Occidental Mindoro)
156,22 November 2018 - 08:11 AM,120.49,102,3.0,016 km S 79° W of Calatagan (Batangas)
157,22 November 2018 - 05:49 AM,125.09,008,2.3,077 km S 34° W of Sarangani (Davao Occidental)
158,22 November 2018 - 04:35 AM,126.41,106,2.0,079 km S 28° E of Governor Generoso (Davao Oriental)
159,22 November 2018 - 04:23 AM,121.65,008,2.0,012 km S 48° E of Baler (Aurora)
160,22 November 2018 - 02:34 AM,122.46,004,3.0,011 km N 32° E of Sipalay (Negros Occidental)
161,22 November 2018 - 01:15 AM,126.49,051,3.5,014 km S 39° E of Lingig (Surigao Del Sur)
162,22 November 2018 - 12:24 AM,123.76,001,2.6,038 km S 60° W of Kalamansig (Sultan Kudarat)
163,21 November 2018 - 11:53 PM,126.33,070,3.6,009 km S 88° W of Lingig (Surigao del Sur)
164,21 November 2018 - 11:16 PM,124.81,029,2.5,027 km S 54° W of Maasim (Sarangani)
165,21 November 2018 - 11:07 PM,125.29,001,2.6,004 km N 86° E of Hinundayan (Southern Leyte)
166,21 November 2018 - 10:54 PM,120.72,087,2.0,013 km N 01° W of Santa Cruz (Occidental Mindoro)
167,21 November 2018 - 10:05 PM,124.82,008,2.0,027 km S 77° E of Anda (Bohol)
168,21 November 2018 - 10:00 PM,123.16,017,3.0,003 km S 38° W Tayasan (Negros Oriental)
169,21 November 2018 - 08:40 PM,122.25,002,1.9,050 km N 04° E Patnanungan (Quezon)
170,21 November 2018 - 08:04 PM,126.46,046,1.8,110 km S 84° E Sarangani (Davao Occidental)
171,21 November 2018 - 08:01 PM,120.43,104,1.9,025 km N 63° W Calatagan (Batangas)
172,21 November 2018 - 07:54 PM,126.70,034,2.1,044 km S 77° E Marihatag (Surigao Del Sur)
173,21 November 2018 - 05:12 PM,123.83,013,1.9,020 km N 36° W Caramoan (Camarines Sur)
174,21 November 2018 - 04:23 PM,123.25,031,2.3,041 km S 27° W Tabina (Zamboanga Del Sur)
175,21 November 2018 - 03:00 PM,125.61,034,2.7,123 km S 07° E Sarangani (Davao Occidental)
176,21 November 2018 - 12:20 PM,124.10,004,2.1,014 km S 79° E Sen. Ninoy Aquino (Sultan Kudarat)
177,21 November 2018 - 10:28 AM,120.62,119,2.6,020 km S 05° W Calatagan (Batangas)
178,21 November 2018 - 05:03 AM,119.85,032,1.7,008 km S 52° W Palauig (Zambales)
179,21 November 2018 - 04:57 AM,125.72,118,2.2,023 km S 29° E Jose Abad Santos (Davao Occidental)
180,21 November 2018 - 04:30 AM,120.19,016,1.9,023 km S 17° W Looc (Occidental Mindoro)
181,21 November 2018 - 03:19 AM,128.52,124,4.0,434 km S 51° E Sarangani (Davao Occidental)
182,21 November 2018 - 03:07 AM,119.86,021,2.1,057 km S 47° W Looc (Occidental Mindoro)
183,21 November 2018 - 02:52 AM,125.33,025,2.3,020 km S 50° W Sarangani (Davao Occidental)
184,21 November 2018 - 02:50 AM,121.50,022,2.0,033 km N 06° E Calayan (Cagayan)
185,21 November 2018 - 02:40 AM,121.59,003,2.6,035 km S 36° E San Juan (Batangas)
186,21 November 2018 - 01:57 AM,120.48,029,2.1,004 km S 49° E Lapog (San Juan) (Ilocos Sur)
187,21 November 2018 - 01:38 AM,126.46,010,4.2,234 km S 28° E Sarangani (Davao Occidental)
188,21 November 2018 - 01:36 AM,126.26,009,2.8,015 km N 50° E General Luna (Surigao Del Norte)
189,21 November 2018 - 01:01 AM,126.14,003,3.0,007 km N 15° W General Luna (Surigao Del Norte)
190,21 November 2018 - 12:59 AM,126.22,013,4.1,011 km N 36° E General Luna (Surigao Del Norte)
191,21 November 2018 - 12:34 AM,124.81,006,2.8,006 km N 66° E Wao (Lanao Del Sur)
192,20 November 2018 - 11:48 PM,121.54,004,2.6,028 km S 34° E San Juan (Batangas)
193,20 November 2018 - 07:29 PM,121.55,023,2.1,024 km S 42° E of San Juan (Batangas)
194,20 November 2018 - 07:15 PM,126.58,023,2.0,054 km S 16° E of Tarragona (Davao Oriental)
195,20 November 2018 - 04:34 PM,124.84,005,3.7,108 km S 40° W of Sarangani (Davao Occidental)
196,20 November 2018 - 04:20 PM,120.69,155,2.7,017 km N 16° W of Abra De Ilog (Occidental Mindoro)
197,20 November 2018 - 03:24 PM,125.14,014,3.5,092 km S 24° W of Sarangani (Davao Occidental)
198,20 November 2018 - 10:59 AM,125.48,111,2.3,101 km N 25° E of Mapanas (Northern Samar)
199,20 November 2018 - 09:58 AM,120.72,141,3.0,022 km N 02° W of Abra De Ilog (Occidental Mindoro)
200,20 November 2018 - 08:21 AM,126.37,014,2.5,010 km S 63° W of Cateel (Davao Oriental)
201,20 November 2018 - 07:15 AM,119.71,020,3.0,022 km S 71° W of Palauig (Zambales)
202,20 November 2018 - 07:09 AM,126.78,003,2.9,141 km S 66° E of Jose Abad Santos (Davao Occidental)
203,19 November 2018 - 11:56 PM,126.92,022,3.7,156 km S 67° E of Jose Abad Santos (Davao Occidental)
204,19 November 2018 - 09:33 PM,124.85,005,2.2,032 km N 04° W of San Roque (Northern Samar)
205,19 November 2018 - 06:23 PM,125.08,028,2.7,015 km S 22° E of Tomas Oppus (Southern Leyte)
206,19 November 2018 - 05:41 PM,125.91,136,2.5,033 km N 80° E of Jose Abad Santos (Davao Occidental)
207,19 November 2018 - 05:35 PM,124.91,042,2.3,008 km S 17° W of Columbio (Sultan Kudarat)
208,19 November 2018 - 02:28 PM,126.42,056,2.2,019 km N 30° E of Hinatuan (Surigao del Sur)
209,19 November 2018 - 08:30 AM,123.73,001,2.6,040 km N 86° W of South Upi (Maguindanao)
210,19 November 2018 - 08:02 AM,126.39,024,2.6,062 km S 34° E of Governor Generoso (Davao Oriental)
211,19 November 2018 - 03:52 AM,125.74,179,2.9,014 km S 78° E of Jose Abad Santos (Davao Occidental)
212,19 November 2018 - 12:32 AM,120.27,018,1.8,010 km S 16° E of Looc (Occidental Mindoro)
213,19 November 2018 - 12:24 AM,126.75,001,3.3,129 km S 76° E of Jose Abad Santos (Davao Occidental)
214,19 November 2018 - 12:00 AM,123.91,001,2.5,021 km S 51° W of Kalamansig (Sultan Kudarat)
215,18 November 2018 - 11:56 PM,126.63,034,2.7,136 km N 56° E of Jose Abad Santos (Davao Occidental)
216,18 November 2018 - 11:55 PM,124.31,001,2.4,030 km S 68° W of Bagumbayan (Sultan Kudarat)
217,18 November 2018 - 11:47 PM,124.09,031,2.1,007 km N 75° W of Batuan (Bohol)
218,18 November 2018 - 11:15 PM,121.71,031,1.9,006 km S 64° W of Lal-lo (Cagayan)
219,18 November 2018 - 10:52 PM,120.27,031,2.0,002 km N 58° E of Looc (Occidental Mindoro)
220,18 November 2018 - 08:50 PM,124.51,029,2.2,036 km S 73° E of Prieto Diaz (Sorsogon)
221,18 November 2018 - 07:43 PM,125.04,018,2.2,037 km S 30° E of Catbalalogan (Samar)
222,18 November 2018 - 11:35 AM,120.82,039,2.0,007 km N 18° E of Natividad (Pangasinan)
223,18 November 2018 - 10:59 AM,124.29,010,2.7,011 km S 34° W of Maripipi (Biliran)
224,18 November 2018 - 08:45 AM,120.58,166,2.4,011 km N 29° W of Calatagan (Batangas)
225,18 November 2018 - 08:41 AM,125.04,005,2.3,009 km S 57° E of Del Carmen (Surigao Del Norte)
226,18 November 2018 - 07:12 AM,124.54,001,2.8,015 km S 61° E of Tagoloan Ii (Lanao Del Sur)
227,18 November 2018 - 06:29 AM,124.57,007,2.9,004 km S 05° E of Pilar (Cebu)
228,18 November 2018 - 05:45 AM,120.29,064,2.3,005 km N 37° W of San Fernando (Capital) (La Union)
229,18 November 2018 - 05:31 AM,119.05,026,2.3,082 km S 79° W of Agno (Pangasinan)
230,18 November 2018 - 03:05 AM,126.34,019,3.5,279 km S 20° E of Sarangani (Davao Occidental)
231,18 November 2018 - 03:01 AM,126.37,032,2.5,025 km S 42° E of Mati (Davao Oriental)
232,18 November 2018 - 02:10 AM,126.82,026,2.5,054 km N 80° E of Hinatuan (Surigao Del Sur)
233,18 November 2018 - 12:01 AM,125.36,002,3.1,017 km N 44° E of Mapanas (Northern Samar)
234,17 November 2018 - 10:49 PM,125.43,001,3.6,024 km N 51° E of Mapanas (Northern Samar)
235,17 November 2018 - 08:40 PM,122.55,012,2.6,007 km S 57° E of Hinoba-an (Negros Occidental)
236,17 November 2018 - 07:58 PM,125.72,052,4.3,013 km N 50° W of La Paz (Agusan Del Sur)
237,17 November 2018 - 07:50 PM,124.50,030,2.2,018 km N 27° W of Anda (Bohol)
238,17 November 2018 - 06:20 PM,125.30,009,2.6,005 km N 79° E of Mapanas (Northern Samar)
239,17 November 2018 - 06:12 PM,120.39,081,2.2,026 km N 84° W of Nasugbu (Batangas)
240,17 November 2018 - 05:49 PM,121.56,042,3.3,034 km N 76° W of Sabtang (Batanes)
241,17 November 2018 - 03:10 PM,122.28,014,2.6,004 km N 69° W of Tubungan (Iloilo)
242,17 November 2018 - 11:15 AM,126.76,001,3.7,145 km S 78° E of Sarangani (Davao Occidental)
243,17 November 2018 - 11:01 AM,124.26,005,2.5,011 km N 69° W of Kawayan (Biliran)
244,17 November 2018 - 10:03 AM,121.74,001,2.1,006 km S 74° W of Panukulan (Quezon)
245,17 November 2018 - 09:23 AM,120.03,007,2.4,034 km S 45° W of Looc (Occidental Mindoro)
246,17 November 2018 - 09:17 AM,126.51,036,2.0,024 km S 74° E of Marihatag (Surigao Del Sur)
247,17 November 2018 - 08:41 AM,120.28,068,2.0,037 km S 84° W of Nasugbu (Batangas)
248,17 November 2018 - 08:12 AM,121.12,086,2.6,006 km N 42° E of Claveria (Cagayan)
249,17 November 2018 - 07:26 AM,126.37,011,2.5,018 km N 88° W of Manay (Davao Oriental)
250,17 November 2018 - 04:20 AM,121.84,031,2.9,008 km N 30° E of Tumauini  (Isabela)
251,17 November 2018 - 03:17 AM,119.72,020,2.1,044 km S 66° W of San Antonio  (Zambales)
252,17 November 2018 - 03:06 AM,126.16,132,3.0,062 km S 75° E of Jose Abad Santos  (Davao Occidental)
253,17 November 2018 - 03:04 AM,126.32,029,2.1,079 km S 80° E of Jose Abad Santos  (Davao Occidental)
254,17 November 2018 - 02:54 AM,123.06,022,2.6,023 km s 87° W of Luzurriaga (Valencia)  (Negros Oriental)
255,17 November 2018 - 02:47 AM,120.21,001,3.4,028 km S 81° W of Paluan  (Occidental Mindoro)
256,17 November 2018 - 02:45 AM,120.36,001,2.4,047 km S 68° W of Sablayan  (Occidental Mindoro)
257,17 November 2018 - 01:01 AM,126.00,032,2.3,012 km N 12° W of Monkayo  (Compostela Valley)
258,16 November 2018 - 11:40 PM,125.47,020,2.5,008 km S 13° E of San Julian  (Eastern Samar)
259,16 November 2018 - 11:34 PM,121.94,007,3.9,017 km N 50° W of Culasi (Antique)
260,16 November 2018 - 08:56 PM,126.11,133,3.1,049 km S 70° E of Don Marcelino (Davao Occidental)
261,16 November 2018 - 05:28 PM,125.85,003,4.0,323 km S 07° E of Sarangani (Davao Occidental)
262,16 November 2018 - 04:57 PM,125.80,131,2.9,113 km S 19° E of Sarangani (Davao Occidental)
263,16 November 2018 - 03:43 PM,124.14,001,1.9,031 km S 18° W of Kalamansig (Sultan Kudarat)
264,16 November 2018 - 03:30 PM,125.65,012,2.4,015 km S 43° E of Santiago (Agusan Del Norte)
265,16 November 2018 - 02:55 PM,126.06,001,2.9,065 km N 85° E of Sarangani (Davao Occidental)
266,16 November 2018 - 10:48 AM,125.57,020,2.5,007 km S 40° W of Davao City (Davao del Sur)
